"","area_type","location","size","society","total_sqft","bath","balcony","price"
"3633","Super built-up  Area","Bommanahalli",3,"Unknown",1375,3,2,59
"3634","Super built-up  Area","Hennur Road",3,"Maity W",1290,2,1,94.5
"3635","Super built-up  Area","Hosa Road",3,"Skume R",1318,2,1,85.28
"3636","Super built-up  Area","Electronic City",2,"Prarkun",1128,2,1,68
"3637","Plot  Area","Meenakunte",4,"Sreat R",4428,4,2,255
"3638","Super built-up  Area","Kanakpura Road",2,"GolusLi",1051,2,2,56.74
"3639","Plot  Area","Kengeri",3,"Unknown",3500,5,0,275
"3640","Plot  Area","Kannamangala",4,"MIalerd",2400,4,1,130
"3641","Super built-up  Area","Yelahanka",2,"PuziaVe",1327,2,3,85
"3642","Super built-up  Area","Thigalarapalya",4,"Prtanha",2912,6,2,210
"3643","Super built-up  Area","Basapura",2,"Jaangm ",1301,2,2,55
"3644","Super built-up  Area","Thippasandra",1,"Unknown",650,1,0,30
"3645","Plot  Area","Varthur",3,"Unknown",1200,3,1,67.75
"3646","Super built-up  Area","Banagiri Nagar",3,"Unknown",1500,2,2,89.99
"3647","Plot  Area","Kumara Park",4,"Unknown",2700,6,2,675
"3648","Plot  Area","Nagadevanahalli",4,"Unknown",1350,4,2,145
"3649","Built-up  Area","Electronic City Phase II",2,"Sryalan",1000,2,1,28.88
"3650","Super built-up  Area","Sarjapur  Road",2,"AsastDe",984,2,1,45.91
"3651","Super built-up  Area","Jakkur",3,"SoineC ",1290,3,1,160
"3652","Built-up  Area","Nagarbhavi",1,"Unknown",900,1,0,175
"3653","Super built-up  Area","Hebbal",3,"Magiaya",1355,3,1,83.87
"3654","Super built-up  Area","Sarakki Nagar",3,"Sowerew",2145,4,1,270
"3655","Super built-up  Area","Malleshwaram",3,"Sariaat",2475,4,3,300
"3656","Super built-up  Area","Kaggadasapura",2,"Unknown",1118,2,0,30
"3657","Super built-up  Area","Roopena Agrahara",1,"Unknown",910,1,1,42
"3658","Super built-up  Area","Madiwala",3,"Unknown",1250,3,2,39
"3659","Super built-up  Area","Hosakerehalli",2,"SoageHe",1304,2,3,100
"3660","Super built-up  Area","Begur Road",3,"Dhalsh ",1615,3,2,58
"3661","Super built-up  Area","Sarjapur  Road",2,"Contsci",1400,2,2,68
"3662","Super built-up  Area","CV Raman Nagar",2,"Villeka",1070,2,2,47.5
"3663","Super built-up  Area","Hebbal",3,"Emceske",3500,3,3,395
"3664","Super built-up  Area","Hoodi",2,"GoAirej",1132,2,1,89.37
"3665","Super built-up  Area","Rajarajeshwari Nagara",3,"Unknown",2000,3,2,85
"3666","Plot  Area","Hebbal",7,"Unknown",2400,5,1,550
"3667","Super built-up  Area","Sector 2 HSR Layout",1,"DShtsow",794,1,2,65
"3668","Super built-up  Area","Raja Rajeshwari Nagar",2,"Lancyey",1090,2,2,43.59
"3669","Super built-up  Area","Gottigere",3,"Pridei ",1500,3,2,70
"3670","Super built-up  Area","1st Phase JP Nagar",3,"Prhtsok",2059,3,2,225
"3671","Super built-up  Area","Kanakpura Road",1,"PrarePa",525,1,1,30
"3672","Super built-up  Area","Bhoganhalli",2,"Rosha I",1447,2,1,75.97
"3673","Super built-up  Area","Whitefield",2,"VaarkMe",1269,2,1,75
"3674","Plot  Area","KR Layout",4,"Unknown",4800,4,0,700
"3675","Super built-up  Area","Kanakpura Road",2,"Shiew T",1070,2,2,37.45
"3676","Super built-up  Area","Talaghattapura",2,"Unknown",1150,2,0,28
"3677","Super built-up  Area","Marathahalli",2,"Unknown",1208,2,2,70
"3678","Super built-up  Area","Ramamurthy Nagar",2,"Cimeshw",1185,2,1,45.5
"3679","Plot  Area","Laggere",3,"Unknown",1200,3,1,130
"3680","Super built-up  Area","Anekal",2,"Unknown",888,2,1,34
"3681","Super built-up  Area","Chandapura",2,"SunceEs",1015,2,2,25.88
"3682","Built-up  Area","Celebrity Paradise Layout",1,"Unknown",532,1,1,22.49
"3683","Super built-up  Area","St Thomas Town",3,"Unknown",1060,3,1,62
"3684","Built-up  Area","Electronic City",1,"Unknown",700,1,1,35
"3685","Super built-up  Area","Ckikkakammana Halli",2,"Radhian",902,2,2,42
"3686","Plot  Area","Banashankari 2nd Stage",6,"Unknown",600,3,3,95
"3687","Super built-up  Area","Uttarahalli",2,"Unknown",1175,2,1,47
"3688","Super built-up  Area","Binny Pete",2,"She 2rk",1365,2,1,122
"3689","Super built-up  Area","Doddathoguru",2,"Hincy R",984,2,1,51
"3690","Plot  Area","Hebbal",4,"Unknown",2700,2,2,100
"3691","Super built-up  Area","Jalahalli East",3,"Unknown",1475,3,2,96
"3692","Super built-up  Area","Haralur Road",2,"NDionas",1300,2,2,79
"3693","Plot  Area","5th Block Hbr Layout",5,"Unknown",1200,6,1,220
"3694","Built-up  Area","Babusapalaya",3,"Unknown",1453,2,2,43.59
"3695","Super built-up  Area","Munivenkatppa Layout",2,"SNiew L",1550,2,3,160
"3696","Built-up  Area","Akshaya Nagar",3,"DLhtsnd",1666,3,2,95
"3697","Plot  Area","Akshaya Nagar",4,"Unknown",1410,4,2,160
"3698","Plot  Area","Yelahanka",4,"Nileyap",4025,5,3,800
"3699","Super built-up  Area","Murugeshpalya",3,"Vestas ",1845,3,3,91
"3700","Super built-up  Area","Sarjapura - Attibele Road",3,"Puownm ",1676,3,3,52
"3701","Super built-up  Area","Uttarahalli",2,"PrdgeLa",1137,2,1,63
"3702","Super built-up  Area","Electronic City",3,"GMown E",1360,2,1,70.5
"3703","Super built-up  Area","Vijaya Bank Layout",3,"FoGemna",1374,2,2,70
"3704","Built-up  Area","Judicial Layout",3,"Unknown",1700,3,2,155
"3705","Plot  Area","Whitefield",5,"Unknown",3227,5,0,250
"3706","Super built-up  Area","Ferrar Nagar",4,"Cestama",2145,4,2,125
"3707","Plot  Area","Koramangala",4,"Unknown",2400,6,3,600
"3708","Super built-up  Area","Kasavanhalli",3,"Unknown",2170,3,2,151
"3709","Built-up  Area","Bank Of Baroda Colony",2,"Unknown",1080,2,1,55
"3710","Built-up  Area","Electronic City Phase II",3,"SNbay G",1790,3,3,100
"3711","Super built-up  Area","Doddathoguru",1,"Unknown",550,1,1,17
"3712","Super built-up  Area","Poorna Pragna Layout",3,"Unknown",1270,2,2,50.79
"3713","Built-up  Area","Somasundara Palya",2,"Ahhtser",1033,2,2,48
"3714","Built-up  Area","Kamala Nagar",2,"Unknown",1000,2,1,80
"3715","Super built-up  Area","Binny Pete",4,"She 2rk",2940,6,2,280
"3716","Super built-up  Area","Kumarapalli",2,"BMmesHo",1240,2,2,52.6
"3717","Plot  Area","Kasturi Nagar",5,"Unknown",1650,5,1,450
"3718","Super built-up  Area","Kambipura",2,"Prrtht ",883,2,1,39
"3719","Built-up  Area","Outer Ring Road East",3,"SRzonhu",1500,2,0,97
"3720","Super built-up  Area","Marathahalli",3,"Asintas",1730,3,3,139
"3721","Super built-up  Area","Kasavanhalli",3,"Unknown",1915,3,3,80
"3722","Super built-up  Area","Whitefield",3,"BainePr",1545,3,2,79
"3723","Super built-up  Area","Marenahalli",3,"Unknown",1865,4,2,140
"3724","Super built-up  Area","Hebbal Kempapura",2,"Unknown",1150,2,2,40
"3725","Super built-up  Area","HAL 3rd Stage",2,"Unknown",1200,2,2,49
"3726","Built-up  Area","Kengeri",2,"Unknown",963,2,2,40
"3727","Plot  Area","Marsur",3,"AreraRe",1200,3,1,120
"3728","Super built-up  Area","Basavangudi",4,"Unknown",2600,4,3,260
"3729","Built-up  Area","Kaikondrahalli",4,"Srsica ",1700,4,2,108
"3730","Super built-up  Area","Lingadheeranahalli",3,"Soiewre",1682,3,1,120
"3731","Built-up  Area","Yelahanka",3,"Rarthne",1371,2,2,65
"3732","Super built-up  Area","Hennur Road",2,"Unknown",901,2,1,49.5
"3733","Plot  Area","Vishwapriya Layout",7,"Unknown",600,7,0,73
"3734","Super built-up  Area","Ambalipura",3,"SJarkte",1730,3,1,120
"3735","Plot  Area","Konanakunte",4,"Unknown",1200,4,0,125
"3736","Super built-up  Area","EPIP Zone",3,"SJlynro",1500,3,3,102
"3737","Super built-up  Area","Sarjapur  Road",4,"Maana E",3785,6,2,280
"3738","Built-up  Area","Nagawara Junction",4,"Unknown",3500,4,2,245
"3739","Carpet  Area","Lingarajapuram",2,"Glnetch",1203,2,1,59.86
"3740","Super built-up  Area","Horamavu Banaswadi",2,"Unknown",1357,2,2,54
"3741","Super built-up  Area","Vasantha Vallabha Nagar",3,"Suensda",1600,3,2,76
"3742","Built-up  Area","Yelahanka New Town",1,"KHatsFl",350,1,1,13.5
"3743","Super built-up  Area","Varthur",3,"MKllei ",1665,3,1,53
"3744","Plot  Area","Ramamurthy Nagar",3,"Unknown",1400,3,3,200
"3745","Super built-up  Area","Sarjapur  Road",1,"Unknown",835,1,1,46.95
"3746","Plot  Area","Chandra Layout",2,"Unknown",815,3,2,160
"3747","Super built-up  Area","Haralur Road",3,"NDionas",1444,2,1,80
"3748","Super built-up  Area","Kanakapura",2,"Unknown",1277,2,2,55
"3749","Super built-up  Area","Lingadheeranahalli",3,"Soiewre",1521,3,1,94.71
"3750","Super built-up  Area","Maithri Layout",2,"Unknown",1134,2,1,40
"3751","Super built-up  Area","Vasanthapura",2,"Unknown",995,2,1,34.82
"3752","Super built-up  Area","Old Madras Road",3,"Brica E",2760,5,2,157
"3753","Built-up  Area","Marathahalli",2,"PueraRi",1325,1,1,92
"3754","Built-up  Area","Kothanur",6,"Unknown",4000,6,2,150
"3755","Built-up  Area","Marathahalli",3,"Unknown",1525,3,2,90
"3756","Super built-up  Area","Raja Rajeshwari Nagar 5th Stage",3,"Unknown",1320,2,2,73
"3757","Super built-up  Area","Electronics City Phase 1",1,"SrnesSr",650,1,1,23
"3758","Built-up  Area","Old Airport Road",3,"Unknown",1858,2,1,167
"3759","Super built-up  Area","Electronic City",2,"Unknown",1150,2,1,38
"3760","Super built-up  Area","Electronic City Phase II",2,"MJtroty",769,2,1,40
"3761","Super built-up  Area","Electronic City",3,"Prarkun",1571,3,2,105
"3762","Super built-up  Area","Hennur Road",3,"Maity W",1445,3,1,86.56
"3763","Super built-up  Area","Hosur Road",3,"Saageat",1590,2,2,135
"3764","Super built-up  Area","Bommasandra",2,"Niway G",902,2,2,49
"3765","Plot  Area","Sarjapur",3,"Unknown",2238,3,1,140
"3766","Built-up  Area","Electronic City",2,"Unknown",1090,2,1,31.49
"3767","Built-up  Area","Yelahanka",3,"NCowsar",1712,3,3,82
"3768","Built-up  Area","Haralur Road",2,"Unknown",1088,2,1,68
"3769","Super built-up  Area","Somasundara Palya",3,"Unknown",1575,3,3,63.1
"3770","Plot  Area","Nanjappa Garden",6,"Unknown",2150,6,3,205
"3771","Super built-up  Area","Kundalahalli",3,"Roima A",1920,3,2,150
"3772","Plot  Area","Margondanahalli",2,"Unknown",1000,2,0,57
"3773","Super built-up  Area","Chennammana Kere",2,"Unknown",1100,2,2,56.1
"3774","Super built-up  Area","Electronic City",2,"Daives ",1089,2,2,45
"3775","Built-up  Area","Horamavu Agara",2,"Maows M",1106,2,1,43.09
"3776","Super built-up  Area","Kengeri",2,"Unknown",927,2,2,37
"3777","Super built-up  Area","Kanakpura Road",2,"PuandHi",1339,2,2,58
"3778","Built-up  Area","Thanisandra",1,"Bhe 2ko",923,1,1,45.69
"3779","Plot  Area","Sarjapur  Road",3,"Unknown",2900,3,2,285
"3780","Super built-up  Area","Lakshminarayana Pura",2,"RothaVa",1175,2,2,75
"3781","Built-up  Area","Thubarahalli",2,"Soowsa ",975,2,1,55
"3782","Super built-up  Area","Hebbal",3,"Kacesh ",2400,4,1,180
"3783","Super built-up  Area","Subramanyapura",3,"Prldsri",1330,3,2,72
"3784","Super built-up  Area","Thanisandra",2,"Bhe 2ko",1183,2,1,59.74
"3785","Super built-up  Area","Harlur",3,"Unknown",1758,3,2,133
"3786","Plot  Area","Nagarbhavi",3,"Unknown",1200,3,2,265
"3787","Super built-up  Area","Hebbal",3,"Magiaya",1255,2,1,77.68
"3788","Plot  Area","Nagadevanahalli",3,"Unknown",600,4,2,110
"3789","Built-up  Area","Pai Layout",2,"SantsAp",1100,2,2,50
"3790","Super built-up  Area","Ramamurthy Nagar",2,"Vaharvi",1170,2,2,46.8
"3791","Built-up  Area","Vayunandana Layout",5,"Unknown",2400,5,2,120
"3792","Super built-up  Area","Raja Rajeshwari Nagar",3,"GrrvaGr",1530,3,3,51.77
"3793","Built-up  Area","Hebbal",2,"Mahosya",1420,2,2,107
"3794","Plot  Area","Geetanjali Layout",4,"Unknown",1200,4,2,300
"3795","Plot  Area","7th Phase JP Nagar",6,"Unknown",1045,6,3,160
"3796","Super built-up  Area","Kanakpura Road",3,"PrityFa",1591,3,1,115
"3797","Super built-up  Area","7th Phase JP Nagar",3,"Eladero",1680,3,2,120
"3798","Plot  Area","Kenchenhalli",2,"Unknown",675,3,1,52
"3799","Super built-up  Area","Hoodi",2,"Caycend",1055,2,1,57.63
"3800","Super built-up  Area","Iblur Village",3,"Sonet G",1918,3,2,129
"3801","Super built-up  Area","Sarjapur  Road",2,"Kelia R",1280,2,1,76
"3802","Super built-up  Area","Nagarbhavi",3,"DSdhiSa",1560,3,3,66
"3803","Super built-up  Area","Sarjapur  Road",2,"Usquaya",1145,2,2,49.5
"3804","Super built-up  Area","Talaghattapura",3,"Sodgere",2106,3,2,126
"3805","Super built-up  Area","EPIP AREA, WHITEFIELD",3,"Unknown",1801,3,2,139
"3806","Plot  Area","Seegehalli",5,"Unknown",1200,5,3,120
"3807","Super built-up  Area","Rajaji Nagar",2,"PhestOn",1718,3,2,288
"3808","Super built-up  Area","Whitefield",3,"Somns T",1306,3,2,54.65
"3809","Super built-up  Area","Hebbal",2,"Raard B",1320,2,1,92
"3810","Built-up  Area","1st Stage Domlur",3,"Unknown",1350,2,2,65
"3811","Built-up  Area","RMV extension stage 2, rmv extension",4,"Unknown",2990,4,2,324
"3812","Built-up  Area","Kalyan nagar",4,"AHavenc",3800,5,3,300
"3813","Super built-up  Area","Bannerghatta Road",3,"DSnjh S",1344,2,1,42
"3814","Super built-up  Area","Bannerghatta Road",3,"Unknown",1893,3,2,100
"3815","Super built-up  Area","Chandapura",3,"Unknown",1107,2,1,43
"3816","Plot  Area","R.T. Nagar",9,"Unknown",1200,10,2,180
"3817","Super built-up  Area","Lakshminarayana Pura",2,"RothaVa",1190,2,1,75
"3818","Built-up  Area","Whitefield",2,"Pranthi",1000,2,1,35
"3819","Plot  Area","Kalhalli",2,"Keersto",2400,2,1,160
"3820","Super built-up  Area","Kumaraswami Layout",2,"Mania G",1000,2,1,48.5
"3821","Super built-up  Area","Jalahalli",3,"Tahtsla",2113,3,2,155
"3822","Built-up  Area","KR Puram",2,"Unknown",1100,2,1,46
"3823","Plot  Area","Sector 2 HSR Layout",5,"Unknown",1200,4,1,160
"3824","Super built-up  Area","Harlur",4,"Zonce E",1884,4,2,120
"3825","Super built-up  Area","Electronic City",2,"YCnce R",1110,2,1,40
"3826","Super built-up  Area","Kudlu",2,"Srrnasa",1027,2,2,43
"3827","Super built-up  Area","Tavarekere",3,"Unknown",1250,3,2,40
"3828","Built-up  Area","Sarjapur  Road",3,"Unknown",1470,3,0,62
"3829","Built-up  Area","Kamakshipalya",2,"Unknown",1150,2,1,75
"3830","Plot  Area","Hadosiddapura",3,"JRichee",1200,3,2,165
"3831","Super built-up  Area","Kudlu Gate",1,"Sanzaat",703,1,1,52
"3832","Super built-up  Area","Vijaya Bank Colony",3,"Unknown",1400,2,2,62
"3833","Super built-up  Area","Bellandur",2,"SRageri",1195,2,2,51
"3834","Super built-up  Area","Narayanapura",2,"Veodsar",1302,2,1,69.1
"3835","Super built-up  Area","Begur Road",3,"Pruthg ",1583,3,1,74.4
"3836","Super built-up  Area","Kumarapalli",3,"BMmesHo",1488,2,3,60
"3837","Plot  Area","Lakshmi Layout",4,"Unknown",600,5,2,85
"3838","Super built-up  Area","Kammasandra",3,"DSOakil",1385,2,2,34.63
"3839","Super built-up  Area","Whitefield",4,"Unknown",3262,4,2,260
"3840","Built-up  Area","Electronic City",3,"Prarkun",1600,3,2,104
"3841","Super built-up  Area","Old Airport Road",2,"FlsicFl",1150,2,1,90
"3842","Plot  Area","Lakkasandra",9,"Unknown",4500,9,2,166
"3843","Super built-up  Area","Sarjapur  Road",2,"Unknown",1263,2,1,78
"3844","Plot  Area","KR Puram",7,"Unknown",1200,8,2,110
"3845","Super built-up  Area","Kanakpura Road",2,"Soena A",1299,2,2,85
"3846","Super built-up  Area","Banashankari",2,"Unknown",1330,2,1,78
"3847","Super built-up  Area","Devanahalli",3,"Sabixtt",1282,2,2,52.43
"3848","Built-up  Area","JP Nagar 8th Phase, ",3,"Unknown",1853,3,2,82
"3849","Super built-up  Area","Kachanayakanahalli",2,"ICoolon",861,2,1,35
"3850","Built-up  Area","Bannerghatta Road",3,"SNity S",1600,3,2,95
"3851","Built-up  Area","Nagaraja Garden",2,"Unknown",1256,2,1,62.8
"3852","Super built-up  Area","Tejaswini Nagar",3,"Naods W",1390,2,2,80
"3853","Super built-up  Area","Ashwath Nagar",3,"Raeusiy",1550,2,2,90
"3854","Plot  Area","1 Annasandrapalya",11,"Unknown",1200,6,3,150
"3855","Built-up  Area","Hebbal",2,"Unknown",919,2,1,49
"3856","Plot  Area","Margondanahalli",3,"Unknown",1625,3,0,80
"3857","Super built-up  Area","Gunjur",2,"Puide P",1195,2,2,44
"3858","Super built-up  Area","Domlur",6,"Unknown",2400,4,1,600
"3859","Super built-up  Area","Yelenahalli",2,"Jaers S",1159,2,1,60
"3860","Super built-up  Area","Whitefield",3,"Somns T",1386,3,1,57.46
"3861","Super built-up  Area","Harlur",2,"Prncyrn",1197,2,1,79
"3862","Super built-up  Area","Old Airport Road",4,"Jaades ",2690,4,3,191
"3863","Super built-up  Area","Jigani",4,"Prllasw",1290,NA,2,226
"3864","Super built-up  Area","Bommasandra",3,"SSestth",1295,2,1,50.28
"3865","Built-up  Area","Huskur",3,"Unknown",1310,2,1,37.83
"3866","Super built-up  Area","Whitefield",2,"Preaunt",1132,2,1,79.28
"3867","Built-up  Area","6th block Koramangala",3,"Sinde G",2350,3,2,400
"3868","Plot  Area","4th Block Koramangala",4,"Unknown",2400,4,2,500
"3869","Super built-up  Area","Hebbal",3,"Raard B",1645,3,2,135
"3870","Super built-up  Area","Whitefield",2,"Unknown",1200,2,1,45.84
"3871","Plot  Area","Whitefield",4,"Unknown",3000,4,0,330
"3872","Super built-up  Area","Marathahalli",3,"Prionad",1937,3,2,140
"3873","Super built-up  Area","Doddathoguru",2,"Vayali ",1015,2,2,33.5
"3874","Super built-up  Area","Nagadevanahalli",2,"Unknown",1080,2,2,39
"3875","Super built-up  Area","Kathriguppe",3,"Prone M",1350,2,2,80.99
"3876","Super built-up  Area","Kengeri Satellite Town",3,"DSestSt",1149,2,2,29
"3877","Super built-up  Area","Kothanur",2,"Unknown",1185,2,2,59
"3878","Super built-up  Area","Domlur",3,"Unknown",1720,3,1,135
"3879","Super built-up  Area","Hebbal",3,"Unknown",2080,3,3,175
"3880","Plot  Area","Tindlu",3,"Hentye ",1500,3,1,87
"3881","Super built-up  Area","Yelahanka",3,"PuziaVe",1566,3,2,97
"3882","Super built-up  Area","Rajaji Nagar",3,"PhestOn",2386,3,2,334
"3883","Plot  Area","KSRTC Layout",4,"Unknown",1500,4,0,110
"3884","Super built-up  Area","KR Puram",2,"LVniaar",1290,2,1,49.02
"3885","Built-up  Area","JP nagar 9th Phase, ",3,"Unknown",1531,3,2,72
"3886","Super built-up  Area","Keshava Nagar",3,"ETens G",1839,3,3,165
"3887","Plot  Area","Dollars Layout",4,"Unknown",4200,4,1,760
"3888","Super built-up  Area","Electronic City Phase II",3,"Sryalan",1400,2,2,40.43
"3889","Super built-up  Area","Electronic City",2,"Itelaa ",550,1,1,15
"3890","Super built-up  Area","Whitefield",2,"SSthamh",1140,2,2,39
"3891","Super built-up  Area","Tumkur Road",3,"Coowsri",1290,3,0,57.76
"3892","Built-up  Area","Banashankari Stage III",4,"Unknown",2000,4,0,100
"3893","Built-up  Area","Kaval Byrasandra",2,"VaasaPr",1100,2,1,46
"3894","Built-up  Area","Vignana Nagar",2,"Mancyhi",1200,2,2,55
"3895","Super built-up  Area","Bannerghatta",3,"Unknown",1618,3,1,68
"3896","Super built-up  Area","Whitefield",4,"Prtates",2830,5,2,160
"3897","Super built-up  Area","Uttarahalli",3,"Omy 2es",1315,2,2,74
"3898","Super built-up  Area","Anandapura",2,"ViensRK",1141,2,1,42.75
"3899","Super built-up  Area","AECS Layout",2,"Srestve",1080,2,2,55
"3900","Super built-up  Area","HBR Layout",2,"Flretes",1200,2,2,60
"3901","Super built-up  Area","Varthur",2,"DSingSt",1111,2,2,41.88
"3902","Super built-up  Area","NGR Layout",2,"Unknown",1022,2,1,45.9
"3903","Super built-up  Area","Bannerghatta Road",2,"SNity S",1275,2,2,65
"3904","Super built-up  Area","4th Block Jayanagar",2,"Unknown",900,2,1,70
"3905","Super built-up  Area","Rachenahalli",2,"Unknown",1224,2,3,39.2
"3906","Super built-up  Area","Battarahalli",2,"Sancy L",1135,2,3,43
"3907","Super built-up  Area","Rachenahalli",2,"Unknown",1050,2,2,52.1
"3908","Super built-up  Area","Kudlu Gate",3,"Srier P",1535,3,2,86
"3909","Super built-up  Area","Nagavarapalya",2,"PuonsSe",1392,2,1,130
"3910","Super built-up  Area","Bellandur",2,"Kritel ",1050,2,2,72
"3911","Super built-up  Area","Hosa Road",3,"Sosisic",1513,3,1,103
"3912","Super built-up  Area","Gottigere",3,"Sooutnu",1621,3,3,72
"3913","Super built-up  Area","Bannerghatta Road",2,"Ceise P",892,2,1,39
"3914","Super built-up  Area","Whitefield",2,"SSthamh",1205,2,1,40
"3915","Super built-up  Area","Hebbal",3,"Magiaya",1355,3,2,83.87
"3916","Plot  Area","2nd Block Hrbr Layout",5,"Unknown",1250,5,2,300
"3917","Plot  Area","Kuvempu Nagar",7,"Unknown",1650,9,2,345
"3918","Super built-up  Area","Karnataka Shabarimala",4,"Unknown",1200,6,3,70
"3919","Super built-up  Area","Indira Nagar",2,"Suurtni",1400,2,2,168
"3920","Super built-up  Area","Kengeri",2,"VBn 2lm",726,2,1,35
"3921","Plot  Area","Singena Agrahara",3,"CoiewSy",1500,3,2,149
"3922","Super built-up  Area","Hebbal",4,"Unknown",3895,4,2,405
"3923","Super built-up  Area","Horamavu Agara",2,"Unknown",1079,2,2,41
"3924","Super built-up  Area","Begur Road",2,"Visic C",1170,2,2,46
"3925","Super built-up  Area","Doddathoguru",2,"Saaveas",1104,2,2,39
"3926","Super built-up  Area","Kanakpura Road",2,"Wiowsri",950,2,1,45
"3927","Built-up  Area","Hormavu",4,"Prageta",4818,4,3,390
"3928","Built-up  Area","Canara Bank Colony",3,"Kiagar ",1650,2,1,52
"3929","Super built-up  Area","Kogilu",3,"Sourtal",1559,3,2,127
"3930","Built-up  Area","Hanumagiri",2,"Nastadr",1100,2,1,38
"3931","Super built-up  Area","Benson Town",3,"GathiVa",1750,3,3,150
"3932","Super built-up  Area","Ramagondanahalli",2,"ViistLa",1215,2,1,45.5
"3933","Super built-up  Area","Talaghattapura",3,"Sodgere",1868,3,1,135
"3934","Built-up  Area","Electronic City",2,"Unknown",1130,2,1,32.63
"3935","Super built-up  Area","Kanakpura Road",3,"JRrnauv",1570,3,3,64.5
"3936","Super built-up  Area","Sarjapur  Road",3,"Unknown",1691,3,1,98
"3937","Built-up  Area","Ardendale",5,"Unknown",4355,3,1,350
"3938","Super built-up  Area","Hulimavu",2,"ArowsMe",1225,2,2,55
"3939","Super built-up  Area","JP Nagar",3,"Unknown",1690,3,2,112
"3940","Super built-up  Area","Thigalarapalya",2,"Unknown",1418,2,2,103
"3941","Super built-up  Area","Kasturi Nagar",4,"Radenta",1896,3,1,125
"3942","Super built-up  Area","Sonnenahalli",1,"Skacak ",605,1,1,40
"3943","Plot  Area","Begur Road",5,"Unknown",800,5,2,95
"3944","Super built-up  Area","Electronic City Phase II",2,"Riodsri",900,2,2,32.5
"3945","Plot  Area","Cholanayakanahalli",1,"Unknown",750,2,0,50
"3946","Plot  Area","Hoodi",3,"Unknown",780,3,1,62
"3947","Super built-up  Area","Ananth Nagar",2,"Unknown",908,2,1,26
"3948","Built-up  Area","Sarjapur  Road",4,"Cetattu",1290,6,0,143
"3949","Super built-up  Area","Thanisandra",4,"Soitya ",3216,4,1,226
"3950","Plot  Area","BEML Layout",5,"Unknown",2400,4,1,225
"3951","Built-up  Area","Iblur Village",2,"Unknown",1400,2,2,68
"3952","Super built-up  Area","Kudlu",2,"Srrnasa",1092,2,2,44
"3953","Super built-up  Area","Hulimavu",2,"RatosAr",1255,2,2,74
"3954","Built-up  Area","Electronic City",3,"GMown E",1500,2,1,100
"3955","Super built-up  Area","Thanisandra",2,"Bhmesy ",1296,2,2,72
"3956","Super built-up  Area","Horamavu Banaswadi",2,"Unknown",925,2,3,38
"3957","Built-up  Area","Raja Rajeshwari Nagar",2,"Mahla T",1023,2,2,42
"3958","Built-up  Area","Seshadripuram",2,"Unknown",600,3,2,75
"3959","Super built-up  Area","Thanisandra",2,"SLityee",1020,2,1,44.5
"3960","Super built-up  Area","Choodasandra",3,"Sainei ",1530,3,2,77
"3961","Super built-up  Area","Gubbalala",3,"Unknown",1650,3,2,71
"3962","Built-up  Area","Vijaya Bank Layout",3,"Dhise P",1605,2,3,85
"3963","Super built-up  Area","Hosakerehalli",2,"Unknown",1925,2,1,50
"3964","Super built-up  Area","Kogilu",2,"Unknown",1190,2,2,50.66
"3965","Super built-up  Area","Jakkur",3,"Unknown",1374,3,2,68
"3966","Built-up  Area","6th Phase JP Nagar",2,"SNpalaj",1140,2,2,65
"3967","Super built-up  Area","Green Glen Layout",3,"Soionar",1725,3,2,130
"3968","Super built-up  Area","Bisuvanahalli",3,"Prityel",1075,2,1,50
"3969","Super built-up  Area","Kannamangala",3,"Sonue A",1574,3,1,93.34
"3970","Built-up  Area","Sanjay nagar",1,"Unknown",965,1,1,32
"3971","Super built-up  Area","Marathahalli",3,"Valdsic",1550,3,2,83
"3972","Super built-up  Area","Akshayanagara West",2,"Ajomaa ",1205,2,2,60
"3973","Super built-up  Area","Kambipura",3,"Prrtht ",1082,2,1,55
"3974","Super built-up  Area","Uttarahalli",3,"Ayaya A",1215,2,2,52.85
"3975","Super built-up  Area","Hebbal",4,"Prersis",2483,5,2,230
"3976","Plot  Area","Prasanth Extension",2,"Unknown",1200,3,1,46.14
"3977","Super built-up  Area","Chikkathoguru",1,"Unknown",1500,1,1,19.5
"3978","Plot  Area","1st Block Koramangala",4,"Unknown",2360,4,2,600
"3979","Super built-up  Area","Ardendale",4,"AWharde",3198,4,2,250
"3980","Super built-up  Area","Kanakpura Road",3,"JRrnauv",1452,3,3,60.98
"3981","Super built-up  Area","Electronic City Phase II",3,"MJtroty",1329,2,2,41
"3982","Super built-up  Area","Doctors Layout",2,"Unknown",1125,2,1,44
"3983","Plot  Area","Anand nagar",2,"Unknown",1200,2,0,70
"3984","Built-up  Area","Sarjapur  Road",3,"Unknown",1350,3,3,39.97
"3985","Super built-up  Area","Uttarahalli",3,"Niiewem",1290,3,0,51.19
"3986","Super built-up  Area","Hebbal",3,"SNontle",2600,3,2,195
"3987","Plot  Area","West of Chord Road",2,"Unknown",1200,2,1,160
"3988","Built-up  Area","Electronic City Phase II",3,"Sryalan",1220,3,1,35.23
"3989","Super built-up  Area","Pai Layout",2,"Kencyes",1255,2,1,80
"3990","Super built-up  Area","Keshava Nagar",3,"ETens G",1904,3,3,155
"3991","Super built-up  Area","Somasundara Palya",2,"Unknown",1329,2,2,70
"3992","Plot  Area","Chandapura",2,"Unknown",1200,2,1,60
